"estado","esp.vida","mort.inf","t.envelh","t.analf","p.pobres","idh"
"Rondônia",72.97,18.02,4.69,9.42,14.8,0.69
"Acre",71.63,23.01,4.32,17.79,29.46,0.663
"Amazonas",73.3,17.01,4.03,10.47,30.78,0.674
"Roraima",73.51,16.11,3.45,11.01,26.65,0.707
"Pará",72.36,20.29,4.75,12.58,32.33,0.646
"Amapá",73.8,15.14,3.44,9.09,24.07,0.708
"Tocantins",72.56,19.56,5.82,14.14,22.15,0.699
"Maranhão",70.4,28.03,6.02,22.51,39.53,0.639
"Piauí",71.62,23.05,7.44,24.55,34.11,0.646
"Ceará",72.6,19.29,7.54,20.14,30.32,0.682
"Rio Grande do Norte",72.52,19.7,7.54,19.74,23.79,0.684
"Paraíba",72,21.67,8.53,23.39,28.93,0.658
"Pernambuco",72.32,20.43,7.37,19.12,27.17,0.673
"Alagoas",70.32,28.4,6.01,26.09,34.29,0.631
"Sergipe",71.84,22.22,6.14,19.72,27.89,0.665
"Bahia",71.97,21.73,7.23,17.73,28.72,0.66
"Minas Gerais",75.3,15.08,8.12,8.83,10.97,0.731
"Espírito Santo",75.1,14.15,7.08,8.62,9.53,0.74
"Rio de Janeiro",75.1,14.15,8.91,4.47,7.23,0.761
"São Paulo",75.69,13.86,7.82,4.53,4.66,0.783
"Paraná",74.8,13.08,7.53,6.69,6.46,0.749
"Santa Catarina",76.61,11.54,6.89,4.37,3.65,0.774
"Rio Grande do Sul",75.38,12.38,9.26,4.75,6.37,0.746
"Mato Grosso do Sul",74.96,18.14,6.62,8.21,9.92,0.729
"Mato Grosso",74.25,16.8,5.12,9.07,10.52,0.725
"Goiás",74.6,13.96,6.25,8.46,7.59,0.735
"Distrito Federal",77.35,14.01,4.97,3.66,4.93,0.824
