"code","Latitude","Longitude","Altitude","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
82704,-7.6,-72.66666666,170,247,258.3,292.6,232.8,155.6,89.7,59.1,76.4,113.2,191,222.2,229.5
82915,-9.95,-67.86666666,160,294.4,298.4,278.1,207.4,87.7,32.8,31.9,56.5,84.8,153,206.7,265.9
82807,-8.16666666,-70.76666666,190,281.7,257.6,326.8,200.9,135.9,60.9,48.7,62.5,112,193.1,262.3,270.5
82989,-9.28333333,-37.9,605.34,39.7,57,108.5,85,147.9,178.4,164.9,99.8,41.5,29.5,28.4,42
82994,-9.66666666,-35.7,64.5,83,72.9,117.4,207.5,296.9,353.8,265.2,201.5,120.2,61.6,46.9,40.5
82992,-9.45,-36.7,274.9,38.5,42.9,68.2,99,131,167.7,134.2,86.6,41.8,19,15.9,33.4
82990,-9.75,-37.43333333,19.1,56.5,36.7,50.9,59.8,86.5,90,81.5,56.1,24.6,19.3,12,12.8
82996,-9.18333333,-35.43333333,50.02,68.2,90.9,201.1,211.6,227.6,305.7,240.4,166.2,91.9,43.2,32.5,39.6
82113,-0.96666666,-60.91666666,40,175.2,185.9,262.7,326.7,312.5,259.5,188.4,136.9,109.9,102.6,139.9,162.4
82410,-4.38333333,-70.03333333,65,331.9,283.6,299.3,261.6,208.3,145.6,107.8,105.9,136,210.8,247.1,252.9
82425,-4.08333333,-63.13333333,46,264.5,265.5,322.3,272.4,213.1,128.9,87.2,68.9,100.4,156.7,215.6,261.7
82326,-3.8411111,-62.05527777,32,332.5,356.4,422.9,402.4,297.4,158.1,108.4,91.7,136.5,186,231.8,346.3
82610,-6.66666666,-69.86666666,104,281.7,273.1,267.9,264.4,154.6,87.8,59.3,78,137.1,189.6,233.7,278
82212,-2.53333333,-66.16666666,55.57,237.9,207.9,257.3,278,271.2,215.4,179.4,134.7,146.1,188,176.6,216.6
82067,0.61,-69.18333333,120,233.3,234.5,279.1,328.5,378.7,341.1,313.2,243.9,220.9,240.6,215.7,233.2
82336,-3.13333333,-58.43333333,40,327.2,286,371.2,301.6,255.5,152.1,100.6,74.9,84.3,97,147.1,214.9
82723,-7.25,-64.83333333,61,314.1,315.2,357.7,273.7,147.8,46.1,32.4,72.7,112.5,198.8,243.2,291.2
82331,-3.10333333,-60.01638888,61.25,287,295.1,300,319,246.9,118.3,75.4,64.3,76.3,104.1,169.2,245.6
82533,-5.81666666,-61.3,50,319.7,347.9,327.3,315.9,210.3,101,48.6,60.5,104.9,199.6,220.5,266.7
82240,-2.63333333,-56.73333333,29,292.7,335.6,363.6,346,281.1,186.4,149.9,73.8,63.1,76.7,116.3,189.7
82106,-0.12499999,-67.06111111,90,295.7,239,246.9,264.5,346.5,294.1,253.2,209.8,181.6,195.5,204.2,273
82317,-3.83333333,-64.7,47,274.2,247.1,306.5,297.1,254.3,158.2,120.5,96.4,132.9,160.3,181,217.2
82098,-0.05,-51.11666666,14.46,294.7,343.3,394.2,384,319.5,244.7,190.8,92.4,28,34.8,69.8,153.5
82095,0.7,-51.45,83.93,288.3,NA,307.7,347,326,221.1,176.7,124.7,63.4,84.9,91.2,125.5
82092,0.9,-52.01666666,163,238.4,311.2,304.6,273,282.5,206,168.1,135.1,81.6,78.6,96.4,167.3
83249,-12.14833333,-38.42555556,130.92,59.8,65.4,75.6,124.6,153.7,152,109.3,93.2,66.7,48.6,61.2,63.2
83179,-11.08333333,-43.16666666,401.58,97.9,100.4,125.5,77.9,15.3,2,0.2,0.6,8.5,33.5,93.5,115.1
83236,-12.15555555,-45.00777777,439.29,164.6,126.8,154.9,74.5,23.7,3.6,1,1.3,10.4,65.6,173.3,203.7
83288,-13.25138888,-43.40527777,439.96,118.5,100.3,111.7,52.5,10.1,1.9,0.6,2.6,15.8,54.7,121,207.8
83339,-14.06666666,-42.48333333,882.47,98.4,69,120.7,45.8,12.5,10.1,10.4,4.9,17.6,61.9,153.6,164.6
83226,-12.66666666,-38.31666666,47.77,87,101.7,143.7,226.9,244.4,232.8,184.9,139.7,103,85.8,111.8,74.9
83398,-15.66666666,-38.95,3.87,95.2,118.4,180.2,195.5,145.1,135.5,140,91.2,77.4,124.8,143.2,145.3
83498,-17.73916666,-39.25833333,2.88,83.8,66.7,147.5,161.8,134.9,85.1,105.6,58.3,90.2,102.7,220.7,148
83408,-14.28333333,-43.76666666,450.18,101.8,105.2,119.5,42.2,5,2.1,0.4,0.2,9.5,35.3,145.3,191.1
83192,-11.08333333,-38.51666666,145.31,35.9,43.5,64.3,54.7,57.8,62.2,52.8,36,27.4,24.8,56,39
83286,-13.33222221,-44.61722221,549.57,130,104.4,145.5,62,9,0.5,0.3,2.3,10.2,74.2,164.7,220.8
83222,-12.66666666,-39.08333333,225.87,63,70.2,97.5,136.5,122.8,142.6,122.8,91.3,79.6,54.8,76.8,59.5
83221,-12.1961111,-38.96722221,231.68,68.8,79.1,40.8,66.8,84.7,94.9,72.1,56.5,41.6,31.6,67.4,50
83446,-16.73333333,-39.55,194.67,98.4,85.9,140.2,101.6,57.3,48.5,58.8,44.2,51.2,83.3,171.5,155.6
83182,-11.3,-41.86666666,747.16,91.8,81.2,112.5,45.7,16.2,1.2,1.1,0.8,4.1,34.3,99.2,120.9
83244,-12.51666666,-40.28333333,249.89,68.3,61.7,95.7,58.7,32.4,36.1,33.3,20.3,18.4,38.5,74.3,80.2
83295,-13.52805554,-40.11972221,755.61,67.4,76,97.5,64.1,52.5,64.3,62.1,47.3,44.3,47.1,103.1,90.5
83292,-13.81277777,-41.3,531.43,76,74.7,91.9,54.4,18.6,14.7,8.8,6.3,17.3,42.1,93,120.1
83186,-11.17277777,-40.53416666,484.74,104.5,67.9,136.8,82.1,45.9,42.2,36.7,33.6,21.8,30.2,83.8,101.1
83242,-12.5575,-41.38888888,438.74,116,96.4,182.7,124.9,59.8,50.7,36.9,35.4,28.5,72.5,132.3,132.6
83090,-10.44249999,-39.3311111,464.6,55.5,57.6,68,63,52.6,62.7,51,34.8,18.9,25.2,49.8,64
83184,-11.21666666,-41.21666666,1003.27,71.1,65.1,102,63.1,29.6,33.3,29.5,23.6,18.1,38.4,97.2,83.5
82986,-9.36666666,-38.21666666,252.69,49.2,38.3,76.8,75.3,54.2,62.6,49.3,29,11.7,17.1,19.5,30
82979,-9.63333333,-42.1,400.51,125,110.6,125.3,60.8,9,2.2,0.7,1.2,2.3,21.3,74,89
83229,-13.00527777,-38.50583333,51.41,82.5,107.2,156.8,295.7,279.8,245.6,208.6,133.5,101.6,95.2,106.5,58.1
83088,-10.46666666,-40.18333333,558.24,75.5,65.6,96.2,80.6,73.4,79.7,63.3,40.3,21.1,28.7,65.1,62.8
83190,-11.63333333,-38.96666666,359.63,71,56.2,83.1,69.6,71.3,95.2,67.6,54.4,38.6,38.2,63.4,65.7
83076,-11.01666666,-44.51666666,450.3,141.8,128.7,169.1,77.5,24.2,1.4,0,2.6,9.4,78.3,169.4,174
83344,-14.88333333,-40.8,874.81,98.7,76.7,114,57.4,24,20.8,24.8,19.9,20.8,45.9,129.5,125.6
82294,-2.88333333,-40.13333333,16.5,113.5,173.1,321.1,308.9,142.3,64.6,25.1,5.3,2.3,2.1,2.5,14.5
82784,-7.31666666,-39.3,409.03,190.9,202.1,231.7,188.5,64.6,12.1,20.6,2.9,2.9,15.1,29.5,99
82777,-7,-40.38333333,583.5,99,111.7,137.6,109.4,35,4.8,5.4,0.9,2.1,10.3,19.8,63.1
82583,-5.16666666,-40.66666666,296.82,117.4,122.5,183.6,178.7,67.1,13.1,6.8,7.1,0.7,6.5,11.1,23.8
82397,-3.76666666,-38.55,26.45,134.6,186.9,349.4,412.8,255.1,153.7,70.1,24.9,17.8,11,9.1,43.5
