"latitude","longitude","cep","casosAcumulados","casosRecuperados","casosRecuperados.1","casosAtivos","casosAtivos.1","ultimaNotificacao","ultimaNotificacao.1"
-22.8184282,-43.3769736,21650400,1,1,1,0,0,"22/05/2020","22/05/2020"
-22.9357923,-43.6784521,23520367,1,1,1,0,0,"21/05/2020","21/05/2020"
-22.9558253,-43.3321819,22753509,1,0,0,0,0,"02/06/2020","02/06/2020"
-22.8236641,-43.3208645,21230490,1,1,1,0,0,"22/06/2020","22/06/2020"
-22.8231701,-43.3205627,21230480,1,1,1,0,0,"18/06/2020","18/06/2020"
-22.8241581,-43.3211663,21230470,1,1,1,0,0,"30/06/2020","30/06/2020"
-22.879853,-43.5494535,23092170,1,1,1,0,0,"18/05/2020","18/05/2020"
-22.8802637,-43.4723088,21820030,1,1,1,0,0,"15/06/2020","15/06/2020"
-22.9358351,-43.6789765,23520369,1,1,1,0,0,"01/06/2020","01/06/2020"
-22.8291961,-43.3243355,21230363,1,1,1,0,0,"25/04/2020","25/04/2020"
-22.9572675,-43.3328511,22753550,1,1,1,0,0,"17/06/2020","17/06/2020"
-22.9359063,-43.6772534,23520375,1,1,1,0,0,"12/05/2020","12/05/2020"
-22.935171,-43.6782568,23520376,1,1,1,0,0,"12/06/2020","12/06/2020"
-22.9456544,-43.6414301,23520400,1,1,1,0,0,"20/07/2020","20/07/2020"
-22.8252979,-43.3153558,21230550,1,1,1,0,0,"19/06/2020","19/06/2020"
-22.8249074,-43.3145257,21230560,1,1,1,0,0,"13/06/2020","13/06/2020"
-22.8282689,-43.3158511,21230660,1,0,0,0,0,"25/05/2020","25/05/2020"
-22.8328008,-43.3207136,21231060,1,1,1,0,0,"05/06/2020","05/06/2020"
-22.829622,-43.3208645,21231050,1,1,1,0,0,"14/04/2020","14/04/2020"
-22.9362288,-43.6791263,23520360,1,1,1,0,0,"16/06/2020","16/06/2020"
-22.8879257,-43.4551495,21815470,1,1,1,0,0,"25/06/2020","25/06/2020"
-22.8292472,-43.329432,21230840,1,1,1,0,0,"27/04/2020","27/04/2020"
-22.8289337,-43.3200345,21230810,1,0,0,0,0,"22/04/2020","22/04/2020"
-22.8806018,-43.5488283,23092180,1,1,1,0,0,"06/07/2020","06/07/2020"
-22.9571813,-43.3370938,22753480,1,1,1,0,0,"22/06/2020","22/06/2020"
-22.8814974,-43.4534938,21815490,1,1,1,0,0,"22/07/2020","22/07/2020"
-22.829761,-43.316035,21230730,1,1,1,0,0,"18/05/2020","18/05/2020"
-22.9084317,-43.6096319,23060690,1,1,1,0,0,"15/06/2020","15/06/2020"
-22.9470434,-43.6582262,23520361,1,1,1,0,0,"24/06/2020","24/06/2020"
-22.828857,-43.3293151,21230320,1,1,1,0,0,"16/05/2020","16/05/2020"
-22.9552185,-43.3333135,22753600,1,1,1,0,0,"15/06/2020","15/06/2020"
-22.9552251,-43.3326346,22753610,1,1,1,0,0,"16/04/2020","16/04/2020"
-22.9459625,-43.1624266,22291210,1,1,1,0,0,"13/07/2020","13/07/2020"
-22.8830822,-43.4752351,21820210,1,0,0,0,0,"19/06/2020","19/06/2020"
-22.9450664,-43.1624573,22291170,1,0,0,0,0,"29/04/2020","29/04/2020"
-22.9449011,-43.1585942,22291140,1,1,1,0,0,"30/05/2020","30/05/2020"
-22.9854458,-43.3291642,22753730,1,1,1,0,0,"30/06/2020","30/06/2020"
-22.9496736,-43.6437694,23520520,1,1,1,0,0,"24/06/2020","24/06/2020"
-22.9483307,-43.6457261,23520521,1,1,1,0,0,"25/05/2020","25/05/2020"
-22.8954552,-43.4779014,21820310,1,1,1,0,0,"23/06/2020","23/06/2020"
-22.9271858,-43.6756103,23520524,1,1,1,0,0,"14/04/2020","14/04/2020"
-22.9413122,-43.6484769,23520550,1,0,0,0,0,"02/06/2020","02/06/2020"
-22.9559118,-43.6484442,23520460,1,1,1,0,0,"20/05/2020","20/05/2020"
-22.8781372,-43.5793896,23071688,1,1,1,0,0,"21/04/2020","21/04/2020"
-22.8283706,-43.3281079,21230250,1,1,1,0,0,"28/05/2020","28/05/2020"
-22.9497315,-43.6477273,23520445,1,1,1,0,0,"18/05/2020","18/05/2020"
-22.9617226,-43.3287397,22753620,1,1,1,0,0,"15/06/2020","15/06/2020"
-22.8271753,-43.3285606,21230220,1,1,1,0,0,"16/04/2020","16/04/2020"
-22.9063823,-43.6083614,23060680,1,1,1,0,0,"17/06/2020","17/06/2020"
-22.8277598,-43.3299186,21230170,1,0,0,0,0,"27/04/2020","27/04/2020"
-22.886334,-43.4751632,21820092,1,1,1,0,0,"05/06/2020","05/06/2020"
-22.8253769,-43.3299186,21230140,1,1,1,0,0,"03/06/2020","03/06/2020"
-22.8220855,-43.3317293,21230115,1,1,1,0,0,"01/07/2020","01/07/2020"
-22.8769654,-43.4703486,21820120,1,1,1,0,0,"04/05/2020","04/05/2020"
-22.8794815,-43.5425184,23092121,1,1,1,0,0,"02/05/2020","02/05/2020"
-22.8759413,-43.5311138,23092090,1,1,1,0,0,"27/04/2020","27/04/2020"
-22.964788,-43.3395746,22753370,1,0,0,0,0,"22/04/2020","22/04/2020"
-22.8268243,-43.3229773,21231160,1,1,1,0,0,"09/04/2020","09/04/2020"
-22.8840814,-43.4528918,21815360,1,0,0,0,0,"24/04/2020","24/04/2020"
-22.8884204,-43.462591,21810270,1,1,1,0,0,"16/06/2020","16/06/2020"
-22.8373067,-43.2868701,21235605,1,1,1,0,0,"16/06/2020","16/06/2020"
-22.9410115,-43.6716179,23520260,1,1,1,0,0,"08/06/2020","08/06/2020"
-22.840252,-43.3202609,21235575,1,1,1,0,0,"10/07/2020","10/07/2020"
-22.9888998,-43.3115069,22753020,1,1,1,0,0,"06/04/2020","06/04/2020"
-22.8422203,-43.3223737,21235565,1,1,1,0,0,"19/06/2020","19/06/2020"
-22.8386003,-43.3158841,21235560,1,1,1,0,0,"22/05/2020","22/05/2020"
-22.9111741,-43.6214275,23061450,1,1,1,0,0,"23/04/2020","23/04/2020"
-22.9413611,-43.6682626,23520263,1,1,1,0,0,"27/05/2020","27/05/2020"
-22.9794232,-43.3269434,22753032,1,1,1,0,0,"19/06/2020","19/06/2020"
-22.9122209,-43.6218777,23061370,1,1,1,0,0,"10/06/2020","10/06/2020"
-22.8400408,-43.32177,21235535,1,1,1,0,0,"19/05/2020","19/05/2020"
-22.9874379,-43.3285606,22753035,1,1,1,0,0,"05/06/2020","05/06/2020"
-22.9133253,-43.6226837,23061360,1,1,1,0,0,"24/04/2020","24/04/2020"
-22.8841583,-43.4649316,21815012,1,1,1,0,0,"17/06/2020","17/06/2020"
-22.9095894,-43.6205836,23061470,1,1,1,0,0,"05/06/2020","05/06/2020"
-22.8397985,-43.323711,21235505,1,0,0,0,0,"19/05/2020","19/05/2020"
