Tmax.rec Tmax.med Tmed Tmin.med Tmin.rec Prec Dias.Prec Ur H.sol
39.2 30.5 24.7 20.6 10.1 110.1 9 72.9 227.2
40.6 30.2 24.5 20.5 12.6 106.5 8 74.8 195.2
38.1 29.1 23.5 19.5 9.6 92.2 8 75.3 202.4
36 25.9 20.3 16.5 6.8 107.3 9 77.6 166
32.7 22.2 16.9 13.3 3 118.8 9 81 146.9
31.6 19.8 14.4 10.8 0.4 141.3 9 82.7 115.6
32.2 19.3 13.8 10.1 -0.2 141.3 9 80.7 131.4
35.2 21.3 15.3 11.1 0.3 117.4 9 77.8 145.3
38 22.1 16.7 12.8 2.2 141.5 10 77 145.8
38.2 25 19.4 15.3 5.8 138.3 10 75 178
39 27.4 21.5 17.1 8 110.9 8 72.1 215.2
39.8 29.5 23.6 19 10 99.6 8 70.9 232.4
