"ano","mes","dia","t.ar"
2005,1,1,22.3
2005,1,2,22.7
2005,1,3,22.7
2005,1,4,21
2005,1,5,22
2005,1,6,23.9
2005,1,7,24.3
2005,1,8,24.2
2005,1,9,25.1
2005,1,10,25.3
2005,1,11,22
2005,1,12,20.4
2005,1,13,21.2
2005,1,14,21.2
2005,1,15,26.1
2005,1,16,23.9
2005,1,17,20.3
2005,1,18,21.4
2005,1,19,23
2005,1,20,21.9
2005,1,21,21.3
2005,1,22,22
2005,1,23,23.2
2005,1,24,23.4
2005,1,25,22
2005,1,26,16.9
2005,1,27,17
2005,1,28,19.3
2005,1,29,20.2
2005,1,30,21.1
2005,1,31,21.4
2005,2,1,20.4
2005,2,2,21.3
2005,2,3,21.1
2005,2,4,19.9
2005,2,5,18.7
2005,2,6,19.1
2005,2,7,18.6
2005,2,8,18.9
2005,2,9,19.9
2005,2,10,21.2
2005,2,11,22.3
2005,2,12,20.5
2005,2,13,20.1
2005,2,14,19.6
2005,2,15,19.8
2005,2,16,21.6
2005,2,17,22.3
2005,2,18,22.9
2005,2,19,22.5
2005,2,20,21.7
2005,2,21,20.7
2005,2,22,23.5
2005,2,23,24.4
2005,2,24,24
2005,2,25,23.6
2005,2,26,22.8
2005,2,27,23.1
2005,2,28,24.1
2005,3,1,21.2
2005,3,2,18.4
2005,3,3,17.6
2005,3,4,18.7
2005,3,5,19.5
2005,3,6,19.9
2005,3,7,21.4
2005,3,8,22.7
2005,3,9,24.6
2005,3,10,23.4
2005,3,11,24.4
2005,3,12,24.4
2005,3,13,25.2
2005,3,14,24.4
2005,3,15,22.4
2005,3,16,21.9
2005,3,17,22.9
2005,3,18,22.6
2005,3,19,22.3
2005,3,20,22.9
2005,3,21,23
2005,3,22,22.8
2005,3,23,23.6
2005,3,24,20.6
2005,3,25,18.8
2005,3,26,18.3
2005,3,27,19.7
2005,3,28,20.2
2005,3,29,22
2005,3,30,22.1
2005,3,31,21.9
2005,4,1,23.7
2005,4,2,24.8
2005,4,3,25.5
2005,4,4,22.2
2005,4,5,20.5
2005,4,6,23.5
2005,4,7,24.5
2005,4,8,24.6
2005,4,9,22.8
2005,4,10,23.2
2005,4,11,24.3
2005,4,12,24.9
2005,4,13,22.8
2005,4,14,23.2
2005,4,15,23.9
2005,4,16,22.3
2005,4,17,21.5
2005,4,18,20.7
2005,4,19,21.6
2005,4,20,21.8
2005,4,21,20.3
2005,4,22,20
2005,4,23,19.6
2005,4,24,19.8
2005,4,25,20.6
2005,4,26,15.3
2005,4,27,15.5
2005,4,28,15.9
2005,4,29,17.6
2005,4,30,16
2005,5,1,15.9
2005,5,2,15.9
2005,5,3,16
2005,5,4,17
2005,5,5,17
2005,5,6,18.1
